campanha_canonica,Ponto,Metodo_de_Captura,Nome_Cientifico,Tipo_de_Amostragem,numero_de_individuos,ct_cm,cp_cm,pc_g,species_key,effort_key,id_esforco,id_especie
C001-2011-12,ICTIO01,Puça,Acestrorhynchus microlepis,Quantitativo,1.0,,1.9,0.613,acestrorhynchus microlepis,C001-2011-12|ICTIO01|Puça,41350,5765
C001-2011-12,ICTIO01,Puça,Apistogramma gr. eunotus,Quantitativo,7.0,,1.3142857142857145,0.14447142857142858,apistogramma gr. eunotus,C001-2011-12|ICTIO01|Puça,41350,5783
C001-2011-12,ICTIO01,Puça,Astyanax aff. bimaculatus,Quantitativo,2.0,,2.9,0.6659999999999999,astyanax aff. bimaculatus,C001-2011-12|ICTIO01|Puça,41350,5790
C001-2011-12,ICTIO01,Puça,Astyanax gracilior,Quantitativo,11.0,,2.2363636363636363,0.2229909090909091,astyanax gracilior,C001-2011-12|ICTIO01|Puça,41350,5796
C001-2011-12,ICTIO01,Puça,Astyanax multidens,Quantitativo,21.0,,2.9476190476190474,0.5634619047619047,astyanax multidens,C001-2011-12|ICTIO01|Puça,41350,5798
C001-2011-12,ICTIO01,Puça,Boulengerella cuvieri,Quantitativo,1.0,,3.5,0.3309,boulengerella cuvieri,C001-2011-12|ICTIO01|Puça,41350,5804
C001-2011-12,ICTIO01,Puça,Caenotropus schizodon,Quantitativo,3.0,,4.866666666666666,6.525766666666667,caenotropus schizodon,C001-2011-12|ICTIO01|Puça,41350,5825
C001-2011-12,ICTIO01,Puça,Callichthys callichthys,Quantitativo,7.0,,4.448571428571428,2.594128571428571,callichthys callichthys,C001-2011-12|ICTIO01|Puça,41350,4752
C001-2011-12,ICTIO01,Puça,Characidium aff. zebra,Quantitativo,2.0,,3.35,0.6053,characidium aff. zebra,C001-2011-12|ICTIO01|Puça,41350,5832
C001-2011-12,ICTIO01,Puça,Corydoras cf. brevirostris,Quantitativo,3.0,,2.1999999999999997,1.2500666666666667,corydoras cf. brevirostris,C001-2011-12|ICTIO01|Puça,41350,5851
C001-2011-12,ICTIO01,Puça,Crenicichla lugubris,Quantitativo,5.0,,6.88,7.066419999999999,crenicichla lugubris,C001-2011-12|ICTIO01|Puça,41350,5869
C001-2011-12,ICTIO01,Puça,"Crenicichla sp. ""acutirostris""",Quantitativo,4.0,,1.8,0.109225,"crenicichla sp. ""acutirostris""",C001-2011-12|ICTIO01|Puça,41350,6380
C001-2011-12,ICTIO01,Puça,Cyphocharax notatus,Quantitativo,1.0,,4.9,2.5307,cyphocharax notatus,C001-2011-12|ICTIO01|Puça,41350,5888
C001-2011-12,ICTIO01,Puça,Gymnotus cf. carapo,Quantitativo,1.0,,3.3,0.2407,gymnotus cf. carapo,C001-2011-12|ICTIO01|Puça,41350,6398
C001-2011-12,ICTIO01,Puça,Hemiodus cf. microlepis,Quantitativo,1.0,,2.2,0.1702,hemiodus cf. microlepis,C001-2011-12|ICTIO01|Puça,41350,5932
C001-2011-12,ICTIO01,Puça,"Hisonotus sp. ""manchado""",Quantitativo,6.0,,2.15,0.1902,"hisonotus sp. ""manchado""",C001-2011-12|ICTIO01|Puça,41350,5946
