id_especie,nome_cientifico,ordem,familia,cp_referencia_f2plus_min_cm,linhas_referencia_f2plus,individuos_referencia_f2plus,linhas_com_cp,individuos_com_cp,linhas_jovens_preliminar,individuos_jovens_preliminar,status_criterio_recrutamento
5762,Acestrocephalus acutus,Characiformes,Characidae,10.0,1,1.0,2,2.0,0,0.0,Aplicavel com cautela: referencia F2+ pequena
5764,Acestrorhynchus falcatus,Characiformes,Acestrorhynchidae,15.5,2,2.0,175,176.0,133,133.0,Aplicavel com cautela: referencia F2+ pequena
5790,Astyanax aff. bimaculatus,Characiformes,Characidae,7.0,2,2.0,255,344.0,236,322.0,Aplicavel com cautela: referencia F2+ pequena
5810,Brycon falcatus,Characiformes,Bryconidae,16.5,2,2.0,315,338.0,181,204.0,Aplicavel com cautela: referencia F2+ pequena
5813,Brycon sp. “adiposa preta”,Characiformes,Bryconidae,16.0,1,1.0,5,5.0,4,4.0,Aplicavel com cautela: referencia F2+ pequena
5840,Cichla cf. mirianae,Cichliformes,Cichlidae,35.0,2,2.0,134,140.0,89,94.0,Aplicavel com cautela: referencia F2+ pequena
5895,Eigenmannia gr. trilineata,Gymnotiformes,Sternopygidae,19.0,1,1.0,60,62.0,40,41.0,Aplicavel com cautela: referencia F2+ pequena
5903,Geophagus cf. altifrons,Cichliformes,Cichlidae,19.0,1,1.0,23,24.0,21,22.0,Aplicavel com cautela: referencia F2+ pequena
5982,Jupiaba acanthogaster,Characiformes,Characidae,8.0,1,1.0,388,968.0,375,941.0,Aplicavel com cautela: referencia F2+ pequena
5984,Jupiaba apenima,Characiformes,Characidae,10.0,1,1.0,842,848.0,841,847.0,Aplicavel com cautela: referencia F2+ pequena
5989,Jupiaba meunieri,Characiformes,Characidae,8.5,1,1.0,15,29.0,13,22.0,Aplicavel com cautela: referencia F2+ pequena
5992,Jupiaba polylepis,Characiformes,Characidae,5.0,2,2.0,1219,1539.0,1024,1175.0,Aplicavel com cautela: referencia F2+ pequena
6012,Leporinus maculatus,Characiformes,Anostomidae,13.0,1,1.0,10,20.0,3,13.0,Aplicavel com cautela: referencia F2+ pequena
6014,Leporinus tigrinus,Characiformes,Anostomidae,15.0,1,1.0,27,41.0,23,31.0,Aplicavel com cautela: referencia F2+ pequena
6049,Moenkhausia lepidura,Characiformes,Characidae,15.0,1,1.0,1704,2320.0,1703,2319.0,Aplicavel com cautela: referencia F2+ pequena
6056,Myleus pachyodus,Characiformes,Serrasalmidae,20.0,1,1.0,61,61.0,12,12.0,Aplicavel com cautela: referencia F2+ pequena
6059,Myleus setiger,Characiformes,Serrasalmidae,22.0,1,1.0,459,459.0,399,399.0,Aplicavel com cautela: referencia F2+ pequena
6064,Myloplus arnoldi,Characiformes,Serrasalmidae,21.0,2,2.0,20,22.0,10,11.0,Aplicavel com cautela: referencia F2+ pequena
6076,Panaque armbrusteri,Siluriformes,Loricariidae,25.0,1,1.0,28,28.0,9,9.0,Aplicavel com cautela: referencia F2+ pequena
6082,Petilipinnis grunniens,Acanthuriformes,Sciaenidae,26.5,1,1.0,12,12.0,4,4.0,Aplicavel com cautela: referencia F2+ pequena
6112,Roeboides affinis,Characiformes,Characidae,8.5,2,2.0,6,6.0,0,0.0,Aplicavel com cautela: referencia F2+ pequena
6135,Sternopygus macrurus,Gymnotiformes,Sternopygidae,21.0,1,1.0,70,70.0,60,60.0,Aplicavel com cautela: referencia F2+ pequena
6146,Tenellus trimaculatus,Siluriformes,Doradidae,16.0,1,1.0,12,24.0,11,23.0,Aplicavel com cautela: referencia F2+ pequena
6153,"Tometes sp. ""teles pires""",Characiformes,Serrasalmidae,40.0,1,1.0,9,9.0,5,5.0,Aplicavel com cautela: referencia F2+ pequena
6415,Trachelyopterus galeatus,Siluriformes,Auchenipteridae,11.0,1,1.0,33,33.0,32,32.0,Aplicavel com cautela: referencia F2+ pequena
5765,Acestrorhynchus microlepis,Characiformes,Acestrorhynchidae,11.0,166,166.0,545,857.0,71,112.0,Aplicavel preliminarmente
5787,Archolaemus luciae,Gymnotiformes,Sternopygidae,21.0,3,3.0,22,24.0,4,4.0,Aplicavel preliminarmente
5788,Argonectes robertsi,Characiformes,Hemiodontidae,15.0,28,28.0,448,512.0,33,36.0,Aplicavel preliminarmente
5804,Boulengerella cuvieri,Characiformes,Ctenoluciidae,18.0,8,8.0,470,489.0,40,40.0,Aplicavel preliminarmente
5816,Bryconexodon trombetasi,Characiformes,Characidae,8.0,4,6.0,720,797.0,506,554.0,Aplicavel preliminarmente
5824,Caenotropus labyrinthicus,Characiformes,Chilodontidae,10.0,9,9.0,77,208.0,10,25.0,Aplicavel preliminarmente
5825,Caenotropus schizodon,Characiformes,Chilodontidae,8.0,93,94.0,1336,2560.0,166,182.0,Aplicavel preliminarmente
5842,Cichla cf. pinima,Cichliformes,Cichlidae,35.0,4,4.0,25,25.0,11,11.0,Aplicavel preliminarmente
5867,Crenicichla inpa,Cichliformes,Cichlidae,12.0,3,3.0,50,52.0,34,36.0,Aplicavel preliminarmente
5875,Curimata inornata,Characiformes,Curimatidae,9.0,113,114.0,2055,2996.0,266,279.0,Aplicavel preliminarmente
5877,Curimatella dorsalis,Characiformes,Curimatidae,7.0,3,3.0,64,191.0,4,4.0,Aplicavel preliminarmente
5882,Cynopotamus juruenae,Characiformes,Characidae,19.0,3,3.0,21,38.0,11,19.0,Aplicavel preliminarmente
5885,Cyphocharax cf. spilurus,Characiformes,Curimatidae,8.0,16,16.0,514,671.0,359,407.0,Aplicavel preliminarmente
5888,Cyphocharax notatus,Characiformes,Curimatidae,8.0,3,3.0,443,622.0,349,361.0,Aplicavel preliminarmente
5889,Cyphocharax plumbeus,Characiformes,Curimatidae,8.0,31,31.0,253,469.0,179,283.0,Aplicavel preliminarmente
5932,Hemiodus cf. microlepis,Characiformes,Hemiodontidae,6.5,650,815.0,3888,8674.0,189,414.0,Aplicavel preliminarmente
5935,Hemiodus quadrimaculatus,Characiformes,Hemiodontidae,9.0,16,16.0,70,110.0,7,18.0,Aplicavel preliminarmente
5936,Hemiodus semitaeniatus,Characiformes,Hemiodontidae,11.0,24,24.0,163,329.0,29,75.0,Aplicavel preliminarmente
5930,Hemiodus unimaculatus,Characiformes,Hemiodontidae,10.0,429,548.0,3004,7297.0,214,437.0,Aplicavel preliminarmente
5941,Hemisorubim platyrhynchos,Siluriformes,Pimelodidae,28.0,21,21.0,429,445.0,36,40.0,Aplicavel preliminarmente
5948,Hoplias aimara,Characiformes,Erythrinidae,20.0,3,3.0,62,65.0,26,29.0,Aplicavel preliminarmente
630,Hoplias malabaricus,Characiformes,Erythrinidae,20.0,7,7.0,349,351.0,306,308.0,Aplicavel preliminarmente
5950,Hydrolycus armatus,Characiformes,Cynodontidae,27.0,15,15.0,506,511.0,22,22.0,Aplicavel preliminarmente
5952,Hydrolycus tatauaia,Characiformes,Cynodontidae,22.0,130,132.0,1422,1456.0,63,63.0,Aplicavel preliminarmente
6006,Leporinus brunneus,Characiformes,Anostomidae,12.0,21,21.0,314,386.0,10,13.0,Aplicavel preliminarmente
6007,Leporinus cf. fasciatus,Characiformes,Anostomidae,3.0,29,31.0,916,1209.0,17,22.0,Aplicavel preliminarmente
6010,Leporinus friderici,Characiformes,Anostomidae,8.5,14,19.0,852,918.0,400,400.0,Aplicavel preliminarmente
6015,Leporinus vanzoi,Characiformes,Anostomidae,8.0,53,55.0,500,912.0,46,66.0,Aplicavel preliminarmente
6029,Metynnis hypsauchen,Characiformes,Serrasalmidae,17.0,4,4.0,34,63.0,8,26.0,Aplicavel preliminarmente
6047,Moenkhausia grandisquamis,Characiformes,Characidae,6.0,5,5.0,98,165.0,8,8.0,Aplicavel preliminarmente
6066,Myloplus rubripinnis,Characiformes,Serrasalmidae,18.5,19,20.0,290,299.0,15,18.0,Aplicavel preliminarmente
6067,Myloplus schomburgkii,Characiformes,Serrasalmidae,13.0,15,15.0,159,180.0,17,24.0,Aplicavel preliminarmente
6083,Petulanos intermedius,Characiformes,Anostomidae,11.0,8,9.0,30,43.0,4,4.0,Aplicavel preliminarmente
6095,Pimelodus cf. tetramerus,Siluriformes,Pimelodidae,12.0,19,19.0,1697,2664.0,155,282.0,Aplicavel preliminarmente
6096,Pimelodus ornatus,Siluriformes,Pimelodidae,16.0,9,9.0,87,119.0,16,20.0,Aplicavel preliminarmente
5423,Plagioscion squamosissimus,Acanthuriformes,Sciaenidae,0.45,34,34.0,524,610.0,0,0.0,Aplicavel preliminarmente
6100,Prochilodus nigricans,Characiformes,Prochilodontidae,18.0,102,105.0,1497,1566.0,135,135.0,Aplicavel preliminarmente
6105,Pterodoras granulosus,Siluriformes,Doradidae,15.0,29,29.0,507,623.0,6,13.0,Aplicavel preliminarmente
6115,Satanoperca jurupari,Cichliformes,Cichlidae,13.0,5,5.0,302,443.0,220,337.0,Aplicavel preliminarmente
6117,Schizodon vittatus,Characiformes,Anostomidae,13.0,18,18.0,192,254.0,14,71.0,Aplicavel preliminarmente
6128,Serrasalmus rhombeus,Characiformes,Serrasalmidae,7.0,398,409.0,6840,15017.0,200,511.0,Aplicavel preliminarmente
6129,Sorubim trigonocephalus,Siluriformes,Pimelodidae,22.0,18,19.0,1587,1878.0,41,45.0,Aplicavel preliminarmente
6147,Tetragonopterus chalceus,Characiformes,Characidae,7.0,26,26.0,496,572.0,324,331.0,Aplicavel preliminarmente
5760,"""deuterodon"" sp.",Characiformes,Characidae,,0,0.0,98,1770.0,0,0.0,Sem referencia F2+
6192,"""hemigrammus"" cf. geisleri",Characiformes,Characidae,,0,0.0,280,280.0,0,0.0,Sem referencia F2+
5761,Acanthopoma annectens,Siluriformes,Trichomycteridae,,0,0.0,9,9.0,0,0.0,Sem referencia F2+
5763,Acestrocephalus sp.,Characiformes,Characidae,,0,0.0,2,2.0,0,0.0,Sem referencia F2+
5766,Aequidens cf. epae,Cichliformes,Cichlidae,,0,0.0,36,54.0,0,0.0,Sem referencia F2+
5767,Aequidens cf. michaeli,Cichliformes,Cichlidae,,0,0.0,1,1.0,0,0.0,Sem referencia F2+
5768,Aequidens epae,Cichliformes,Cichlidae,,0,0.0,260,260.0,0,0.0,Sem referencia F2+
5769,"Aequidens sp. ""juvenil""",Cichliformes,Cichlidae,,0,0.0,2,3.0,0,0.0,Sem referencia F2+
5770,Aequidens tetramerus,Cichliformes,Cichlidae,,0,0.0,50,50.0,0,0.0,Sem referencia F2+
5771,Ammocryptocharax sp.,Characiformes,Crenuchidae,,0,0.0,4,4.0,0,0.0,Sem referencia F2+
6393,Anchoviella jamesi,Clupeiformes,Engraulidae,,0,0.0,1,25.0,0,0.0,Sem referencia F2+
5774,"Ancistrus sp. ""focinho curto""",Siluriformes,Loricariidae,,0,0.0,12,13.0,0,0.0,Sem referencia F2+
6446,"Ancistrus sp. ""lineolatus""",Siluriformes,Loricariidae,,0,0.0,106,106.0,0,0.0,Sem referencia F2+
5778,Anostomoides laticeps,Characiformes,Anostomidae,,0,0.0,10,27.0,0,0.0,Sem referencia F2+
5780,Apareiodon sp.,Characiformes,Parodontidae,,0,0.0,3,6.0,0,0.0,Sem referencia F2+
5781,"Apareiodon sp. ""2 faixa""",Characiformes,Parodontidae,,0,0.0,8,8.0,0,0.0,Sem referencia F2+
5782,Aphanotorulus emarginatus,Siluriformes,Loricariidae,,0,0.0,19,21.0,0,0.0,Sem referencia F2+
5783,Apistogramma gr. eunotus,Cichliformes,Cichlidae,,0,0.0,551,551.0,0,0.0,Sem referencia F2+
5784,Apistogramma gr. steindachneri,Cichliformes,Cichlidae,,0,0.0,193,193.0,0,0.0,Sem referencia F2+
5785,Apistogramma sp.,Cichliformes,Cichlidae,,0,0.0,3,3.0,0,0.0,Sem referencia F2+
5786,Arapaima gigas,Osteoglossiformes,Arapaimidae,,0,0.0,11,15.0,0,0.0,Sem referencia F2+
5415,Astronotus ocellatus,Cichliformes,Cichlidae,,0,0.0,1,1.0,0,0.0,Sem referencia F2+
5789,Astyanax aff. ajuricaba,Characiformes,Characidae,,0,0.0,80,80.0,0,0.0,Sem referencia F2+
5791,Astyanax argyrimarginatus,Characiformes,Characidae,,0,0.0,5,5.0,0,0.0,Sem referencia F2+
5793,Astyanax cf. anterior,Characiformes,Characidae,,0,0.0,6,6.0,0,0.0,Sem referencia F2+
6201,Astyanax cf. elachylepis,Characiformes,Characidae,,0,0.0,58,58.0,0,0.0,Sem referencia F2+
5796,Astyanax gracilior,Characiformes,Characidae,,0,0.0,1449,1449.0,0,0.0,Sem referencia F2+
5798,Astyanax multidens,Characiformes,Characidae,,0,0.0,617,721.0,0,0.0,Sem referencia F2+
5802,"Baryancistrus sp. ""mancha grande""",Siluriformes,Loricariidae,,0,0.0,38,38.0,0,0.0,Sem referencia F2+
5803,"Baryancistrus sp. ""mancha pequena""",Siluriformes,Loricariidae,,0,0.0,6,6.0,0,0.0,Sem referencia F2+
