id_especie,nome_cientifico,estrategia_reprodutiva,classe_recrutamento,ordem,familia,cp_referencia_f2plus_min_cm,linhas_referencia_f2plus,individuos_referencia_f2plus,linhas_com_cp_mcp_mcd,individuos_com_cp_mcp_mcd,linhas_jovens_preliminar,individuos_jovens_preliminar,status_criterio_recrutamento
5813,Brycon sp. “adiposa preta”,Migradora de curta distância,MCD,Characiformes,Bryconidae,16.0,1,1.0,5,5.0,4,4.0,Aplicavel com cautela: referencia F2+ pequena
6056,Myleus pachyodus,Migradora de curta distância,MCD,Characiformes,Serrasalmidae,20.0,1,1.0,61,61.0,12,12.0,Aplicavel com cautela: referencia F2+ pequena
6153,"Tometes sp. ""teles pires""",Migradora de curta distância,MCD,Characiformes,Serrasalmidae,40.0,1,1.0,9,9.0,5,5.0,Aplicavel com cautela: referencia F2+ pequena
5788,Argonectes robertsi,Migradora de curta distância,MCD,Characiformes,Hemiodontidae,15.0,28,28.0,448,512.0,33,36.0,Aplicavel preliminarmente
5875,Curimata inornata,Migradora de curta distância,MCD,Characiformes,Curimatidae,9.0,113,114.0,2055,2996.0,266,279.0,Aplicavel preliminarmente
5930,Hemiodus unimaculatus,Migradora de curta distância,MCD,Characiformes,Hemiodontidae,10.0,429,548.0,3004,7297.0,214,437.0,Aplicavel preliminarmente
6010,Leporinus friderici,Migradora de curta distância,MCD,Characiformes,Anostomidae,8.5,14,19.0,852,918.0,400,400.0,Aplicavel preliminarmente
6066,Myloplus rubripinnis,Migradora de curta distância,MCD,Characiformes,Serrasalmidae,18.5,19,20.0,290,299.0,15,18.0,Aplicavel preliminarmente
6067,Myloplus schomburgkii,Migradora de curta distância,MCD,Characiformes,Serrasalmidae,13.0,15,15.0,159,180.0,17,24.0,Aplicavel preliminarmente
6095,Pimelodus cf. tetramerus,Migradora de curta distância,MCD,Siluriformes,Pimelodidae,12.0,19,19.0,1697,2664.0,155,282.0,Aplicavel preliminarmente
6096,Pimelodus ornatus,Migradora de curta distância,MCD,Siluriformes,Pimelodidae,16.0,9,9.0,87,119.0,16,20.0,Aplicavel preliminarmente
6187,Brycon aff. pesu,Migradora de curta distância,MCD,Characiformes,Bryconidae,,0,0.0,182,182.0,0,0.0,Sem referencia F2+
5814,Brycon sp. “subdistal”,Migradora de curta distância,MCD,Characiformes,Bryconidae,,0,0.0,247,677.0,0,0.0,Sem referencia F2+
5876,Curimata knerii,Migradora de curta distância,MCD,Characiformes,Curimatidae,,0,0.0,2,2.0,0,0.0,Sem referencia F2+
