campanha,campanha_operacional,ordem_campanha,ano,mes,data_referencia,fase_reservatorio,evento_reservatorio,periodo_rebaixamento_parcial,marco_reenchimento,observacao
C001-2011-12,C001,1,2011,12,2011-12-01,pre_enchimento,,nao,nao,
C002-2012-04,C002,2,2012,4,2012-04-01,pre_enchimento,,nao,nao,
C003-2012-06,C003,3,2012,6,2012-06-01,pre_enchimento,,nao,nao,
C004-2012-09,C004,4,2012,9,2012-09-01,pre_enchimento,,nao,nao,
C005-2012-12,C005,5,2012,12,2012-12-01,pre_enchimento,,nao,nao,
C006-2013-03,C006,6,2013,3,2013-03-01,pre_enchimento,,nao,nao,
C007-2013-06,C007,7,2013,6,2013-06-01,pre_enchimento,,nao,nao,
C008-2013-09,C008,8,2013,9,2013-09-01,pre_enchimento,,nao,nao,
C009-2013-12,C009,9,2013,12,2013-12-01,pre_enchimento,,nao,nao,
C010-2014-03,C010,10,2014,3,2014-03-01,pre_enchimento,,nao,nao,
C011-2014-06,C011,11,2014,6,2014-06-01,pre_enchimento,,nao,nao,
C012-2014-09,C012,12,2014,9,2014-09-01,pre_enchimento,,nao,nao,
C013-2014-12,C013,13,2014,12,2014-12-01,pre_enchimento,,nao,nao,
C014-2015-04,C014,14,2015,4,2015-04-01,pre_enchimento,,nao,nao,
C015-2015-07,C015,15,2015,7,2015-07-01,pre_enchimento,,nao,nao,
C016-2015-09,C016,16,2015,9,2015-09-01,pre_enchimento,,nao,nao,
C017-2015-11,C017,17,2015,11,2015-11-01,pre_enchimento,,nao,nao,
C018-2016-03,C018,18,2016,3,2016-03-01,pre_enchimento,,nao,nao,
C019-2016-06,C019,19,2016,6,2016-06-01,pre_enchimento,,nao,nao,
C020-2016-09,C020,20,2016,9,2016-09-01,pre_enchimento,fim_pre_enchimento,nao,nao,
C021-2018-05,C021,21,2018,5,2018-05-01,pos_enchimento,inicio_pos_enchimento,nao,nao,
C022-2018-06,C022,22,2018,6,2018-06-01,pos_enchimento,,nao,nao,
C023-2018-09,C023,23,2018,9,2018-09-01,pos_enchimento,,nao,nao,
C024-2018-10,C024,24,2018,10,2018-10-01,pos_enchimento,,nao,nao,
C025-2018-11,C025,25,2018,11,2018-11-01,pos_enchimento,,nao,nao,
C026-2018-12,C026,26,2018,12,2018-12-01,pos_enchimento,,nao,nao,
C027-2019-01,C027,27,2019,1,2019-01-01,pos_enchimento,,nao,nao,
C028-2019-02,C028,28,2019,2,2019-02-01,pos_enchimento,,nao,nao,
C029-2019-03,C029,29,2019,3,2019-03-01,pos_enchimento,,nao,nao,
C030-2019-06,C030,30,2019,6,2019-06-01,pos_enchimento,,nao,nao,
C031-2019-10,C031,31,2019,10,2019-10-01,pos_enchimento,,nao,nao,
C032-2019-12,C032,32,2019,12,2019-12-01,pos_enchimento,,nao,nao,
C033-2020-03,C033,33,2020,3,2020-03-01,pos_enchimento,,nao,nao,
C034-2020-07,C034,34,2020,7,2020-07-01,pos_enchimento,,nao,nao,
C035-2020-09,C035,35,2020,9,2020-09-01,pos_enchimento,,nao,nao,
C036-2020-12,C036,36,2020,12,2020-12-01,pos_enchimento,,nao,nao,
C037-2021-03,C037,37,2021,3,2021-03-01,pos_enchimento,,nao,nao,
C038-2021-06,C038,38,2021,6,2021-06-01,pos_enchimento,,nao,nao,
C039-2021-09,C039,39,2021,9,2021-09-01,pos_enchimento,,nao,nao,
C040-2021-12,C040,40,2021,12,2021-12-01,pos_enchimento,,nao,nao,
C041-2022-03,C041,41,2022,3,2022-03-01,pos_enchimento,,nao,nao,
C042-2022-06,C042,42,2022,6,2022-06-01,pos_enchimento,,nao,nao,
C043-2023-02,C043,43,2023,2,2023-02-01,pos_enchimento,,nao,nao,
C044-2023-02,C044,44,2023,2,2023-02-01,pos_enchimento,,nao,nao,
C045-2023-04,C045,45,2023,4,2023-04-01,pos_enchimento,,nao,nao,
C046-2023-07,C046,46,2023,7,2023-07-01,pos_enchimento,,nao,nao,
C047-2023-10,C047,47,2023,10,2023-10-01,pos_enchimento,,nao,nao,
