ponto,trecho_longitudinal,ordem_lista,uso
ICTIO01,Montante,1,analises_gerais
ICTIO02,Montante,2,analises_gerais
ICTIO03,Montante,3,analises_gerais
ICTIO04,Montante,4,analises_gerais
ICTIO05,Montante,5,analises_gerais
ICTIO06,Montante,6,analises_gerais
ICTIO07,Montante,7,analises_gerais
ICTIO08,Montante,8,analises_gerais
ICTIO09,Montante,9,analises_gerais
ICTIO10,Montante,10,analises_gerais
ICTIO11,Montante,11,analises_gerais
ICTIO12,Montante,12,analises_gerais
ICTIO13A,Jusante,13,analises_gerais
ICTIO13B,Montante,14,analises_gerais
ICTIO14,Jusante,15,analises_gerais
ICTIO15,Jusante,16,analises_gerais
