sheet,campanha_rotulo,campanha_operacional,ano_mes,linhas,pontos
Pontos_e_Campanhas,C001-2011-12,C001,2011-12,18,18
Pontos_e_Campanhas,C002-2012-04,C002,2012-04,18,18
Pontos_e_Campanhas,C003-2012-06,C003,2012-06,18,18
Pontos_e_Campanhas,C004-2012-09,C004,2012-09,18,18
Pontos_e_Campanhas,C005-2012-12,C005,2012-12,18,18
Pontos_e_Campanhas,C006-2013-03,C006,2013-03,18,18
Pontos_e_Campanhas,C007-2013-06,C007,2013-06,18,18
Pontos_e_Campanhas,C008-2013-09,C008,2013-09,18,18
Pontos_e_Campanhas,C009-2013-12,C009,2013-12,18,18
Pontos_e_Campanhas,C010-2014-03,C010,2014-03,18,18
Pontos_e_Campanhas,C011-2014-06,C011,2014-06,18,18
Pontos_e_Campanhas,C012-2014-09,C012,2014-09,18,18
Pontos_e_Campanhas,C013-2014-12,C013,2014-12,18,18
Pontos_e_Campanhas,C014-2015-04,C014,2015-04,18,18
Pontos_e_Campanhas,C015-2015-07,C015,2015-07,18,18
Pontos_e_Campanhas,C016-2015-09,C016,2015-09,18,18
Pontos_e_Campanhas,C017-2015-11,C017,2015-11,18,18
Pontos_e_Campanhas,C018-2016-03,C018,2016-03,18,18
Pontos_e_Campanhas,C019-2016-06,C019,2016-06,18,18
Pontos_e_Campanhas,C020-2016-09,C020,2016-09,18,18
Pontos_e_Campanhas,C021-2018-04,C021,2018-04,18,18
Pontos_e_Campanhas,C021-2018-05,C021,2018-05,18,18
Pontos_e_Campanhas,C022-2018-06,C022,2018-06,18,18
Pontos_e_Campanhas,C023-2018-09,C023,2018-09,18,18
Pontos_e_Campanhas,C024-2018-10,C024,2018-10,18,18
Pontos_e_Campanhas,C025-2018-11,C025,2018-11,18,18
Pontos_e_Campanhas,C026-2018-12,C026,2018-12,18,18
Pontos_e_Campanhas,C027-2019-01,C027,2019-01,18,18
Pontos_e_Campanhas,C028-2019-02,C028,2019-02,18,18
Pontos_e_Campanhas,C029-2019-03,C029,2019-03,18,18
Pontos_e_Campanhas,C030-2019-06,C030,2019-06,18,18
Pontos_e_Campanhas,C031-2019-09,C031,2019-09,18,18
Pontos_e_Campanhas,C031-2019-10,C031,2019-10,18,18
Pontos_e_Campanhas,C032-2019-12,C032,2019-12,18,18
Pontos_e_Campanhas,C033-2020-03,C033,2020-03,18,18
Pontos_e_Campanhas,C034-2020-06,C034,2020-06,18,18
Pontos_e_Campanhas,C034-2020-07,C034,2020-07,18,18
Pontos_e_Campanhas,C035-2020-09,C035,2020-09,18,18
Pontos_e_Campanhas,C036-2020-12,C036,2020-12,18,18
Pontos_e_Campanhas,C037-2021-03,C037,2021-03,18,18
Pontos_e_Campanhas,C038-2021-06,C038,2021-06,18,18
Pontos_e_Campanhas,C039-2021-09,C039,2021-09,18,18
Pontos_e_Campanhas,C040-2021-11,C040,2021-11,18,18
Pontos_e_Campanhas,C040-2021-12,C040,2021-12,18,18
Pontos_e_Campanhas,C041-2022-03,C041,2022-03,18,18
Pontos_e_Campanhas,C042-2022-06,C042,2022-06,18,18
Pontos_e_Campanhas,C043-2023-01,C043,2023-01,18,18
Pontos_e_Campanhas,C043-2023-02,C043,2023-02,18,18
Pontos_e_Campanhas,C044-2023-02,C044,2023-02,18,18
Pontos_e_Campanhas,C045-2023-03,C045,2023-03,18,18
Pontos_e_Campanhas,C045-2023-04,C045,2023-04,18,18
