campanha_operacional,status,rotulos_distintos,rotulo_canonico_maior_ano_mes,rotulos,abas,linhas_total
C021,CONFLITO,2,C021-2018-05,C021-2018-04 | C021-2018-05,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,809
C031,CONFLITO,2,C031-2019-10,C031-2019-09 | C031-2019-10,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,1329
C034,CONFLITO,2,C034-2020-07,C034-2020-06 | C034-2020-07,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,355
C040,CONFLITO,2,C040-2021-12,C040-2021-11 | C040-2021-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,553
C043,CONFLITO,2,C043-2023-02,C043-2023-01 | C043-2023-02,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,931
C045,CONFLITO,2,C045-2023-04,C045-2023-03 | C045-2023-04,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,766
C046,CONFLITO,2,C046-2023-07,C046-2023-06 | C046-2023-07,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,734
C049,CONFLITO,2,C049-2023-12,C049-2023-11 | C049-2023-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,943
C052,CONFLITO,2,C052-2024-03,C052-2024-02 | C052-2024-03,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,956
C062,CONFLITO,2,C062-2025-08,C062-2025-07 | C062-2025-08,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,584
C063,CONFLITO,2,C063-2025-10,C063-2025-09 | C063-2025-10,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,389
C064,CONFLITO,2,C064-2025-12,C064-2025-11 | C064-2025-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,528
C067,CONFLITO,6,C067-2026-06,C067-2024-10 | C067-2025-02 | C067-2025-06 | C067-2025-10 | C067-2026-02 | C067-2026-06,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,405
C001,OK,1,C001-2011-12,C001-2011-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2094
C002,OK,1,C002-2012-04,C002-2012-04,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,4492
C003,OK,1,C003-2012-06,C003-2012-06,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2435
C004,OK,1,C004-2012-09,C004-2012-09,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2597
C005,OK,1,C005-2012-12,C005-2012-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,1852
C006,OK,1,C006-2013-03,C006-2013-03,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,6053
C007,OK,1,C007-2013-06,C007-2013-06,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2128
C008,OK,1,C008-2013-09,C008-2013-09,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2775
C009,OK,1,C009-2013-12,C009-2013-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,1964
C010,OK,1,C010-2014-03,C010-2014-03,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,985
C011,OK,1,C011-2014-06,C011-2014-06,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2624
C012,OK,1,C012-2014-09,C012-2014-09,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,1319
C013,OK,1,C013-2014-12,C013-2014-12,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,2077
C014,OK,1,C014-2015-04,C014-2015-04,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,1743
C015,OK,1,C015-2015-07,C015-2015-07,Metadados_Esforco | Pontos_e_Campanhas | Resultados_Ictiofauna,1590
