campanha_operacional,rotulo_canonico,regra,rotulos_distintos,rotulos_originais,status
C001,C001-2011-12,maior_ano_mes,1,C001-2011-12,OK
C002,C002-2012-04,maior_ano_mes,1,C002-2012-04,OK
C003,C003-2012-06,maior_ano_mes,1,C003-2012-06,OK
C004,C004-2012-09,maior_ano_mes,1,C004-2012-09,OK
C005,C005-2012-12,maior_ano_mes,1,C005-2012-12,OK
C006,C006-2013-03,maior_ano_mes,1,C006-2013-03,OK
C007,C007-2013-06,maior_ano_mes,1,C007-2013-06,OK
C008,C008-2013-09,maior_ano_mes,1,C008-2013-09,OK
C009,C009-2013-12,maior_ano_mes,1,C009-2013-12,OK
C010,C010-2014-03,maior_ano_mes,1,C010-2014-03,OK
C011,C011-2014-06,maior_ano_mes,1,C011-2014-06,OK
C012,C012-2014-09,maior_ano_mes,1,C012-2014-09,OK
C013,C013-2014-12,maior_ano_mes,1,C013-2014-12,OK
C014,C014-2015-04,maior_ano_mes,1,C014-2015-04,OK
C015,C015-2015-07,maior_ano_mes,1,C015-2015-07,OK
C016,C016-2015-09,maior_ano_mes,1,C016-2015-09,OK
C017,C017-2015-11,maior_ano_mes,1,C017-2015-11,OK
C018,C018-2016-03,maior_ano_mes,1,C018-2016-03,OK
C019,C019-2016-06,maior_ano_mes,1,C019-2016-06,OK
C020,C020-2016-09,maior_ano_mes,1,C020-2016-09,OK
C021,C021-2018-05,maior_ano_mes,2,C021-2018-04 | C021-2018-05,AJUSTAR
C022,C022-2018-06,maior_ano_mes,1,C022-2018-06,OK
C023,C023-2018-09,maior_ano_mes,1,C023-2018-09,OK
C024,C024-2018-10,maior_ano_mes,1,C024-2018-10,OK
C025,C025-2018-11,maior_ano_mes,1,C025-2018-11,OK
C026,C026-2018-12,maior_ano_mes,1,C026-2018-12,OK
C027,C027-2019-01,maior_ano_mes,1,C027-2019-01,OK
C028,C028-2019-02,maior_ano_mes,1,C028-2019-02,OK
C029,C029-2019-03,maior_ano_mes,1,C029-2019-03,OK
C030,C030-2019-06,maior_ano_mes,1,C030-2019-06,OK
C031,C031-2019-10,maior_ano_mes,2,C031-2019-09 | C031-2019-10,AJUSTAR
C032,C032-2019-12,maior_ano_mes,1,C032-2019-12,OK
C033,C033-2020-03,maior_ano_mes,1,C033-2020-03,OK
C034,C034-2020-07,maior_ano_mes,2,C034-2020-06 | C034-2020-07,AJUSTAR
C035,C035-2020-09,maior_ano_mes,1,C035-2020-09,OK
C036,C036-2020-12,maior_ano_mes,1,C036-2020-12,OK
C037,C037-2021-03,maior_ano_mes,1,C037-2021-03,OK
C038,C038-2021-06,maior_ano_mes,1,C038-2021-06,OK
C039,C039-2021-09,maior_ano_mes,1,C039-2021-09,OK
C040,C040-2021-12,maior_ano_mes,2,C040-2021-11 | C040-2021-12,AJUSTAR
C041,C041-2022-03,maior_ano_mes,1,C041-2022-03,OK
C042,C042-2022-06,maior_ano_mes,1,C042-2022-06,OK
C043,C043-2023-02,maior_ano_mes,2,C043-2023-01 | C043-2023-02,AJUSTAR
C044,C044-2023-02,maior_ano_mes,1,C044-2023-02,OK
C045,C045-2023-04,maior_ano_mes,2,C045-2023-03 | C045-2023-04,AJUSTAR
C046,C046-2023-07,maior_ano_mes,2,C046-2023-06 | C046-2023-07,AJUSTAR
C047,C047-2023-10,maior_ano_mes,1,C047-2023-10,OK
C048,C048-2023-11,maior_ano_mes,1,C048-2023-11,OK
C049,C049-2023-12,maior_ano_mes,2,C049-2023-11 | C049-2023-12,AJUSTAR
C050,C050-2023-12,maior_ano_mes,1,C050-2023-12,OK
C051,C051-2024-01,maior_ano_mes,1,C051-2024-01,OK
C052,C052-2024-03,maior_ano_mes,2,C052-2024-02 | C052-2024-03,AJUSTAR
C053,C053-2024-03,maior_ano_mes,1,C053-2024-03,OK
C054,C054-2024-06,maior_ano_mes,1,C054-2024-06,OK
C055,C055-2024-09,maior_ano_mes,1,C055-2024-09,OK
C056,C056-2024-10,maior_ano_mes,1,C056-2024-10,OK
C057,C057-2024-11,maior_ano_mes,1,C057-2024-11,OK
C058,C058-2024-12,maior_ano_mes,1,C058-2024-12,OK
C059,C059-2025-01,maior_ano_mes,1,C059-2025-01,OK
C060,C060-2025-02,maior_ano_mes,1,C060-2025-02,OK
C061,C061-2025-03,maior_ano_mes,1,C061-2025-03,OK
C062,C062-2025-08,maior_ano_mes,2,C062-2025-07 | C062-2025-08,AJUSTAR
C063,C063-2025-10,maior_ano_mes,2,C063-2025-09 | C063-2025-10,AJUSTAR
C064,C064-2025-12,maior_ano_mes,2,C064-2025-11 | C064-2025-12,AJUSTAR
C065,C065-2025-12,maior_ano_mes,1,C065-2025-12,OK
C066,C066-2026-01,maior_ano_mes,1,C066-2026-01,OK
C067,C067-2026-02,excecao_usuario_c067_2026_02,6,C067-2024-10 | C067-2025-02 | C067-2025-06 | C067-2025-10 | C067-2026-02 | C067-2026-06,AJUSTAR
C068,C068-2026-03,maior_ano_mes,1,C068-2026-03,OK
C069,C069-2026-06,maior_ano_mes,1,C069-2026-06,OK
