Campanha,Ponto,Metodo_de_Captura,Nome_Cientifico,linhas,individuos,sexos,n_sexos,emgs,n_emgs,cp_vals,pc_vals
C001-2011-12,ICTIO01,Puça,Acestrorhynchus microlepis,1,1.0,,0,,0,1,1
C001-2011-12,ICTIO01,Puça,Apistogramma gr. eunotus,7,7.0,,0,,0,7,7
C001-2011-12,ICTIO01,Puça,Astyanax aff. bimaculatus,2,2.0,,0,,0,2,2
C001-2011-12,ICTIO01,Puça,Astyanax gracilior,11,11.0,,0,,0,11,11
C001-2011-12,ICTIO01,Puça,Astyanax multidens,21,21.0,,0,,0,21,21
C001-2011-12,ICTIO01,Puça,Boulengerella cuvieri,1,1.0,,0,,0,1,1
C001-2011-12,ICTIO01,Puça,Caenotropus schizodon,3,3.0,,0,,0,3,3
C001-2011-12,ICTIO01,Puça,Callichthys callichthys,7,7.0,,0,,0,7,7
C001-2011-12,ICTIO01,Puça,Characidium aff. zebra,2,2.0,,0,,0,2,2
C001-2011-12,ICTIO01,Puça,Corydoras cf. brevirostris,3,3.0,,0,,0,3,3
C001-2011-12,ICTIO01,Puça,Crenicichla lugubris,5,5.0,,0,,0,5,5
C001-2011-12,ICTIO01,Puça,"Crenicichla sp. ""acutirostris""",4,4.0,,0,,0,4,4
C001-2011-12,ICTIO01,Puça,Cyphocharax notatus,1,1.0,,0,,0,1,1
C001-2011-12,ICTIO01,Puça,Gymnotus cf. carapo,1,1.0,,0,,0,1,1
C001-2011-12,ICTIO01,Puça,Hemiodus cf. microlepis,1,1.0,,0,,0,1,1
C001-2011-12,ICTIO01,Puça,"Hisonotus sp. ""manchado""",6,6.0,,0,,0,6,6
C001-2011-12,ICTIO01,Puça,Hyphessobrycon aff. heliacus,8,8.0,,0,,0,8,8
C001-2011-12,ICTIO01,Puça,Hyphessobrycon cf. tukunai,7,7.0,,0,,0,7,7
C001-2011-12,ICTIO01,Puça,Hypostomus aff. plecostomus,2,2.0,,0,,0,2,2
C001-2011-12,ICTIO01,Puça,Hypostomus aff. soniae,8,8.0,,0,,0,8,8
C001-2011-12,ICTIO01,Puça,Ituglanis amazonicus,1,1.0,,0,,0,1,1
C001-2011-12,ICTIO01,Puça,Jupiaba polylepis,15,15.0,,0,,0,15,15
C001-2011-12,ICTIO01,Puça,Leporinus vanzoi,1,1.0,,0,,0,1,1
