numero,grupo_taxonomico,classe,ordem,familia,nome_cientifico,categoria_nacional,pagina_pdf,fonte
1,Peixes Continentais,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes bicudo,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
2,Peixes Continentais,Actinopterygii,Characiformes,Anostomidae,Hypomasticus santanai,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
3,Peixes Continentais,Actinopterygii,Characiformes,Anostomidae,Leporinus guttatus,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
4,Peixes Continentais,Actinopterygii,Characiformes,Anostomidae,Leporinus pitingai,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
5,Peixes Continentais,Actinopterygii,Characiformes,Anostomidae,Megaleporinus gaiero,VU,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
6,Peixes Continentais,Actinopterygii,Characiformes,Anostomidae,Sartor tucuruiensis,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
7,Peixes Continentais,Actinopterygii,Characiformes,Bryconidae,Brycon dulcis,VU,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
8,Peixes Continentais,Actinopterygii,Characiformes,Bryconidae,Brycon gouldingi,VU,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
9,Peixes Continentais,Actinopterygii,Characiformes,Bryconidae,Brycon orbignyanus,CR,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
10,Peixes Continentais,Actinopterygii,Characiformes,Bryconidae,Brycon vermelha,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
11,Peixes Continentais,Actinopterygii,Characiformes,Bryconidae,Brycon vonoi,EN,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
12,Peixes Continentais,Actinopterygii,Characiformes,Characidae,Astyanax brucutu,CR,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
13,Peixes Continentais,Actinopterygii,Characiformes,Characidae,Astyanax eremus,CR,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
14,Peixes Continentais,Actinopterygii,Characiformes,Characidae,Hasemania maxillaris,CR,1,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/saiba-mais/documentos-e-downloads/9-portaria-gm_mma-no-1-667-de-27-de-abril-de-2026.pdf
