id_resultado_ictio,id_esforco,id_especie,codigo_opyta,linha_fonte,ponto,campanha,metodo_de_captura,tipo_de_amostragem,malha_ou_anzol,numero_de_individuos,ct_cm,cp_cm,pc_g,sexo_raw,sexo_padronizado,emg_raw,emg_codigo,emg_estadio,emg_ordem,evidencia_reprodutiva_forte,observacao_individuo_lote,source_workbook,source_sheet
34954,42664,5790,BIOCOL001,2,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,5.4,2.7228,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,3,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,4.8,2.5162,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,4,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,4.8,2.2157,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,5,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.6,1.0986,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,6,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.5,0.9713,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,7,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.1,0.6385,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,8,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.4,0.8916,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,9,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.0,0.6382,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,10,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.1,0.6618,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,11,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.3,0.7817,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,12,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.1,0.5966,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,13,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.0,0.5946,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,14,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.3,0.6812,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,15,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,2.8,0.4933,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,16,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.0,0.5631,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,17,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,2.8,0.3844,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,18,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,2.4,0.2845,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,19,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,2.3,0.2094,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,20,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,3.1,0.6393,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
34954,42664,5790,BIOCOL001,21,ICTIO13A,C001-2011-12,Puça,Quantitativo,Puça,1.0,,2.9,0.4354,,,-,,,,False,,G:\Meu Drive\Opyta\Clientes\Clientes\Clientes\Bios\Colíder\Planilha\Migracao\Opyta-Bios-Ictio-2026_MIGRACAO_DE DADOS -version 4.xlsx,Resultados_Ictiofauna
